operation,calls,self_cpu_ms,cpu_total_ms,self_cuda_ms,cuda_total_ms
aten::empty,2344,18.886410000001863,18.886410000001863,0.0,0.0
aten::to,3210,8.83457199999734,166.64936899999756,0.0,2.269969000001827
aten::lift_fresh,800,0.4098150000022697,0.4098150000022697,0.0,0.0
aten::detach_,776,1.3867110000016691,2.4765230000023535,0.0,0.0
detach_,776,1.0898120000006843,1.0898120000006843,0.0,0.0
aten::_to_copy,2364,28.22997299999847,157.81479700000023,0.0,2.269969000001827
aten::empty_strided,2752,46.046584999999254,46.046584999999254,0.0,0.0
aten::copy_,2391,35.838357000003754,91.67003200000075,2.2911220000019568,2.2911220000019568
Activity Buffer Request,3,7.106955000000449,9.130049999999956,0.0,0.06721500000008382
cudaStreamIsCapturing,72,0.16921699999953124,0.16921699999953124,0.012791999999917607,0.012791999999917607
cudaMemcpyAsync,129,2.639916000000432,2.639916000000432,0.0,0.0
cudaStreamSynchronize,114,24.42655499999868,24.42655499999868,0.0,0.0
Memcpy HtoD (Pageable -> Device),56,0.0,0.0,0.02007100000024184,0.02007100000024184
aten::clone,3,0.04946599999984392,0.27286900000002423,0.0,0.005778999999973166
aten::embedding,15,0.27655399999987096,1.8789069999996972,0.0,0.15355099999969388
aten::reshape,1944,4.859682999995765,11.70550799999902,0.0,0.0
aten::view,5310,23.340745000001625,23.340745000001625,0.0,0.0
aten::index_select,15,0.6115640000000876,1.4860420000000796,0.1460409999999174,0.15355099999969388
aten::resize_,67,0.7772610000000768,0.7772610000000768,0.0,0.0
cudaLaunchKernel,13212,306.337539999998,306.337539999998,0.0,0.0
aten::arange,30,0.5803489999997273,2.239290000000756,0.019306000000015047,0.038612000000030094
aten::add,2263,76.75781899999762,131.58181599999713,2.563836000001578,2.563836000001578
aten::unsqueeze,816,5.134107000003779,6.68248300000362,0.0,0.0
aten::as_strided,8150,19.99967200001354,19.99967200001354,0.0,0.0
aten::expand,48,0.3540470000000114,0.4477129999996687,0.0,0.0
aten::matmul,1518,25.55082199999893,230.86417699999922,0.0,95.44074400000376
aten::bmm,15,1.2958599999995586,6.16033099999948,0.0,0.025167999999928723
_native::bmm_triton_0,15,4.213767000000229,4.864470999999921,0.025167999999928723,0.025167999999928723
cuLaunchKernelEx,15,0.31481399999981474,0.31481399999981474,0.0,0.0
aten::_unsafe_view,1518,5.543238000001156,5.543238000001156,0.0,0.0
aten::transpose,5622,25.16920699999119,38.46657800000002,0.0,0.0
aten::cat,1521,56.71376799999194,99.36633199999572,2.523684000000285,2.523684000000285
aten::cos,15,0.5290750000000971,0.8696149999998397,0.0474419999998172,0.0474419999998172
aten::mul,3408,119.28915600001602,195.3197630000097,5.321857999996195,5.321857999996195
Memcpy DtoD (Device -> Device),15,0.0,0.0,0.018484999999978755,0.018484999999978755
"void at::native::(anonymous namespace)::indexSelectSmallIndex<c10::BFloat16, long, unsigned int, 2, 2, -2>(at::cuda::detail::TensorInfo<c10::BFloat16, unsigned int>, at::cuda::detail::TensorInfo<c10::BFloat16 const, unsigned int>, at::cuda::detail::TensorInfo<long const, unsigned int>, int, int, unsigned int, long)",12,0.0,0.0,0.1460409999999174,0.1460409999999174
