hardware,gamma,tokens_per_second,acceptance_rate_percent
"NVIDIA GeForce RTX 4090 (23.5 GB VRAM)",1,16.2972,100.0000
"NVIDIA GeForce RTX 4090 (23.5 GB VRAM)",2,41.6104,89.1304
"NVIDIA GeForce RTX 4090 (23.5 GB VRAM)",3,35.2378,74.0741
"NVIDIA GeForce RTX 4090 (23.5 GB VRAM)",4,29.7366,71.6667
"NVIDIA GeForce RTX 4090 (23.5 GB VRAM)",5,23.6853,47.0588
"NVIDIA GeForce RTX 4090 (23.5 GB VRAM)",6,21.9560,44.4444
"NVIDIA GeForce RTX 4090 (23.5 GB VRAM)",7,22.3972,43.9560
"NVIDIA GeForce RTX 4090 (23.5 GB VRAM)",8,25.6993,53.7500
"NVIDIA GeForce RTX 4090 (23.5 GB VRAM)",9,23.4457,46.6667
"NVIDIA GeForce RTX 4090 (23.5 GB VRAM)",10,15.5996,30.0000
"NVIDIA GeForce RTX 4090 (23.5 GB VRAM)",11,18.0368,34.8485
"NVIDIA GeForce RTX 4090 (23.5 GB VRAM)",12,25.3239,44.7917
"NVIDIA GeForce RTX 4090 (23.5 GB VRAM)",13,13.9234,23.6686
"NVIDIA GeForce RTX 4090 (23.5 GB VRAM)",14,14.4863,27.3810
"NVIDIA GeForce RTX 4090 (23.5 GB VRAM)",15,10.5198,19.5238
"NVIDIA GeForce RTX 4090 (23.5 GB VRAM)",16,11.5944,25.0000
"NVIDIA GeForce RTX 4090 (23.5 GB VRAM)",17,14.0203,26.4706
"NVIDIA GeForce RTX 4090 (23.5 GB VRAM)",18,11.6313,20.7071
"NVIDIA GeForce RTX 4090 (23.5 GB VRAM)",19,14.0136,26.9006
"NVIDIA GeForce RTX 4090 (23.5 GB VRAM)",20,10.9881,21.3636
"NVIDIA GeForce RTX 4090 (23.5 GB VRAM)",21,10.3341,18.1818
"NVIDIA GeForce RTX 4090 (23.5 GB VRAM)",22,7.9712,13.9610
"NVIDIA GeForce RTX 4090 (23.5 GB VRAM)",23,20.3576,33.3333
"NVIDIA GeForce RTX 4090 (23.5 GB VRAM)",24,11.3217,18.9815
"NVIDIA GeForce RTX 4090 (23.5 GB VRAM)",25,9.5598,16.4000
"NVIDIA GeForce RTX 4090 (23.5 GB VRAM)",26,7.0548,12.4260
"NVIDIA GeForce RTX 4090 (23.5 GB VRAM)",27,10.0123,16.4609
"NVIDIA GeForce RTX 4090 (23.5 GB VRAM)",28,7.1411,11.5385
"NVIDIA GeForce RTX 4090 (23.5 GB VRAM)",29,6.0321,9.4253
"NVIDIA GeForce RTX 4090 (23.5 GB VRAM)",30,8.7317,15.3333
"NVIDIA GeForce RTX 4090 (23.5 GB VRAM)",31,8.3120,12.9032
"NVIDIA GeForce RTX 4090 (23.5 GB VRAM)",32,13.2352,22.3958
"NVIDIA GeForce RTX 4090 (23.5 GB VRAM)",33,11.4957,15.1515
"NVIDIA GeForce RTX 4090 (23.5 GB VRAM)",34,6.5020,13.2353
"NVIDIA GeForce RTX 4090 (23.5 GB VRAM)",35,7.2020,13.4286
"NVIDIA GeForce RTX 4090 (23.5 GB VRAM)",36,5.0042,7.9365
"NVIDIA GeForce RTX 4090 (23.5 GB VRAM)",37,5.5531,9.0090
"NVIDIA GeForce RTX 4090 (23.5 GB VRAM)",38,3.8761,6.9659
"NVIDIA GeForce RTX 4090 (23.5 GB VRAM)",39,5.8010,10.0233
"NVIDIA GeForce RTX 4090 (23.5 GB VRAM)",40,5.6508,9.0909
"NVIDIA GeForce RTX 4090 (23.5 GB VRAM)",41,4.3428,7.1429
"NVIDIA GeForce RTX 4090 (23.5 GB VRAM)",42,8.4402,14.9660
"NVIDIA GeForce RTX 4090 (23.5 GB VRAM)",43,5.2430,10.9937
"NVIDIA GeForce RTX 4090 (23.5 GB VRAM)",44,4.7206,8.3333
"NVIDIA GeForce RTX 4090 (23.5 GB VRAM)",45,6.1921,10.3704
"NVIDIA GeForce RTX 4090 (23.5 GB VRAM)",46,4.7073,7.4275
"NVIDIA GeForce RTX 4090 (23.5 GB VRAM)",47,4.6533,7.2695
"NVIDIA GeForce RTX 4090 (23.5 GB VRAM)",48,4.4129,7.4653
"NVIDIA GeForce RTX 4090 (23.5 GB VRAM)",49,4.6287,9.2764
"NVIDIA GeForce RTX 4090 (23.5 GB VRAM)",50,5.5499,8.8889
