hardware,gamma,tokens_per_second,acceptance_rate_percent
"NVIDIA GeForce RTX 5060 (8.0 GB VRAM)",1,2.9168,100.0000
"NVIDIA GeForce RTX 5060 (8.0 GB VRAM)",2,7.8049,95.2381
"NVIDIA GeForce RTX 5060 (8.0 GB VRAM)",3,7.7684,87.5000
"NVIDIA GeForce RTX 5060 (8.0 GB VRAM)",4,9.0553,93.1818
"NVIDIA GeForce RTX 5060 (8.0 GB VRAM)",5,7.5733,72.7273
"NVIDIA GeForce RTX 5060 (8.0 GB VRAM)",6,4.3131,60.6061
"NVIDIA GeForce RTX 5060 (8.0 GB VRAM)",7,5.3075,51.1905
"NVIDIA GeForce RTX 5060 (8.0 GB VRAM)",8,7.0631,67.1875
"NVIDIA GeForce RTX 5060 (8.0 GB VRAM)",9,4.6322,40.4040
"NVIDIA GeForce RTX 5060 (8.0 GB VRAM)",10,3.0133,34.1667
"NVIDIA GeForce RTX 5060 (8.0 GB VRAM)",11,4.2703,39.0909
"NVIDIA GeForce RTX 5060 (8.0 GB VRAM)",12,6.4382,65.2778
"NVIDIA GeForce RTX 5060 (8.0 GB VRAM)",13,3.3207,29.3706
"NVIDIA GeForce RTX 5060 (8.0 GB VRAM)",14,2.2012,24.1758
"NVIDIA GeForce RTX 5060 (8.0 GB VRAM)",15,2.4670,22.5641
"NVIDIA GeForce RTX 5060 (8.0 GB VRAM)",16,2.9194,32.0312
"NVIDIA GeForce RTX 5060 (8.0 GB VRAM)",17,2.1963,19.0045
"NVIDIA GeForce RTX 5060 (8.0 GB VRAM)",18,5.3677,45.5556
"NVIDIA GeForce RTX 5060 (8.0 GB VRAM)",19,1.4396,13.1579
"NVIDIA GeForce RTX 5060 (8.0 GB VRAM)",20,2.2757,28.8889
