hardware,gamma,tokens_per_second,acceptance_rate_percent
"NVIDIA GeForce RTX 5060 (8.0 GB VRAM)",1,4.2097,100.0000
"NVIDIA GeForce RTX 5060 (8.0 GB VRAM)",2,8.3947,97.6190
"NVIDIA GeForce RTX 5060 (8.0 GB VRAM)",3,8.9834,93.3333
"NVIDIA GeForce RTX 5060 (8.0 GB VRAM)",4,8.3082,78.8462
"NVIDIA GeForce RTX 5060 (8.0 GB VRAM)",5,6.5166,62.8571
"NVIDIA GeForce RTX 5060 (8.0 GB VRAM)",6,4.3238,65.1515
"NVIDIA GeForce RTX 5060 (8.0 GB VRAM)",7,5.2942,43.9560
"NVIDIA GeForce RTX 5060 (8.0 GB VRAM)",8,6.7717,56.9444
"NVIDIA GeForce RTX 5060 (8.0 GB VRAM)",9,5.3977,45.5556
"NVIDIA GeForce RTX 5060 (8.0 GB VRAM)",10,3.4069,43.0000
"NVIDIA GeForce RTX 5060 (8.0 GB VRAM)",11,6.1204,51.9481
"NVIDIA GeForce RTX 5060 (8.0 GB VRAM)",12,5.0739,47.9167
"NVIDIA GeForce RTX 5060 (8.0 GB VRAM)",13,4.2747,35.8974
"NVIDIA GeForce RTX 5060 (8.0 GB VRAM)",14,2.4785,27.2727
"NVIDIA GeForce RTX 5060 (8.0 GB VRAM)",15,3.6434,29.6296
"NVIDIA GeForce RTX 5060 (8.0 GB VRAM)",16,2.4222,23.0769
"NVIDIA GeForce RTX 5060 (8.0 GB VRAM)",17,4.9132,50.0000
"NVIDIA GeForce RTX 5060 (8.0 GB VRAM)",18,2.0829,22.7778
"NVIDIA GeForce RTX 5060 (8.0 GB VRAM)",19,2.6160,24.7368
"NVIDIA GeForce RTX 5060 (8.0 GB VRAM)",20,1.3762,14.0625
